Scaffold rank,Compounds,Severe cliffs,Cliff density,Intra-scaffold sigma,Mean pIC50,Contains patent-excl,Scaffold SMILES
1,174,23,0.0015281376652714106,0.4492870579431486,7.067509998092138,False,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2
3,60,3,0.001694915254237288,0.4567970936465034,6.99143353757544,False,O=C(c1ccc2cc(-c3cc4cccc(C5CCNCC5)c4n3CC3CC3)nn2c1)N1CCCCC1
27,15,2,0.01904761904761905,0.6641846117215892,6.993528040775483,False,O=C(c1ccc2cc(-c3cc4cccc(C5CCN(C(=O)C6CCC6)CC5)c4n3CC3CC3)nn2c1)N1CCCCC1
123,4,1,0.16666666666666666,0.9250454884940345,6.829013217312122,False,O=C(c1ccc2cc(-c3cc4cccc(OCCn5cccn5)c4n3CC3CC3)nn2c1)N1CCCCC1
66,6,1,0.06666666666666667,0.8542859077479276,5.171509509615062,False,O=C(N[C@H]1CCNC1)c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1
75,6,1,0.06666666666666667,0.7129397685827085,6.734971620623504,False,O=C(c1ccc2cc(-c3cc4cccnc4n3CC3CC3)oc2c1)N1CC2CCC1C2
52,8,1,0.03571428571428571,1.0706668145723115,6.8794061403230335,False,O=C(c1ccc2cc(-c3cc4ccnc(OCCn5ccnc5)c4n3CC3CC3)nn2c1)N1CCCCC1
38,10,1,0.022222222222222223,1.0177962617500942,6.858212361897604,False,O=C(c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1)N1[C@H]2CC[C@@H]1CC2
32,12,1,0.015151515151515152,0.6706038068899342,6.989606989870111,False,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5cn[nH]c5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2
5,48,1,0.0008865248226950354,0.7593614430276975,6.454491054901723,False,O=C(c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1)N1CCCCC1
4,58,1,0.0006049606775559589,0.3397335261540748,6.425283814752862,False,O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4CC4CC4)nc3cc21
2,102,0,0.0,0.3656136782045278,6.953136320848462,False,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccc5)nc4n3CC3CC3)nc2c1)N1CCCCC1
