scaffold_rank,scaffold_smiles,series_size,n_severe_cliffs,n_possible_pairs,cliff_density,smoothness_score,mean_pic50,median_pic50,potency_range,sd_pic50,mean_sali,max_sali,contains_patent_exclusive
42,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccncc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,9,0,36,0.0,1.0,6.878,6.921,0.762,0.238,1.436,5.439,False
43,O=C1Cc2cc(-c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4n3)ccc2N1,9,0,36,0.0,1.0,7.258,7.398,1.497,0.467,1.669,7.843,False
44,O=C(c1ccc2[nH]c(-c3cc4sccc4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,9,0,36,0.0,1.0,7.287,7.252,0.419,0.14,0.751,1.69,False
45,O=C(c1ccc2[nH]c(-c3cc4ccc(Nc5ccccc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,9,0,36,0.0,1.0,6.964,7.004,0.401,0.127,0.929,2.253,False
46,O=C(CNC(=O)c1cc2c(cn1)[nH]c1ccccc12)NCc1ccccc1,9,0,36,0.0,1.0,5.829,5.928,1.294,0.39,3.406,65.88,False
47,O=C(c1ccc2cc(-c3cc4ccc(-c5ccccc5)cc4n3CC3CC3)oc2c1)N1CC2CCC1C2,8,0,28,0.0,1.0,6.518,6.386,1.631,0.587,2.916,10.579,False
48,O=C(c1ccc2cc(-c3cc4ccnc(OCCn5ccnc5)c4n3CC3CC3)nn2c1)N1CCCCC1,8,1,28,0.03571,0.96429,6.879,7.054,2.471,1.071,4.441,12.793,False
49,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@H]6CC[C@@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)c1cccnc1,8,0,28,0.0,1.0,7.138,7.154,0.371,0.11,0.702,2.711,True
50,O=C1NCCc2cc3[nH]c(-c4cc5cccnc5n4CC4CC4)nc3cc21,8,0,28,0.0,1.0,6.396,6.523,0.398,0.184,0.688,1.791,False
51,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@@H]6CC[C@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)c1cccnc1,8,0,28,0.0,1.0,7.138,7.154,0.371,0.11,0.702,2.711,False
52,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6[nH]c(=O)ccc6c5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,8,0,28,0.0,1.0,7.233,7.172,0.988,0.311,1.965,5.201,False
53,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccn5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,8,0,28,0.0,1.0,6.965,6.908,0.852,0.284,1.478,3.498,False
54,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CCCCN5)ccc4[nH]3)n(CC3CC3)c2n1)C1CC1,7,0,21,0.0,1.0,6.982,6.991,0.433,0.146,1.175,2.998,False
55,O=C(/C=C/c1ccccc1)C1C(=O)NC2CCCCC2C1c1ccccc1,7,0,21,0.0,1.0,4.693,4.939,0.939,0.423,1.044,2.997,True
56,O=C(c1ccc2[nH]c(-c3cc4ccccc4n3CC3CC3)nc2c1)N1CCCCC1,7,0,21,0.0,1.0,6.925,7.049,1.602,0.562,2.277,6.812,False
57,O=C(c1ccc2[nH]c(-c3cc4ccc(N5CCC5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,7,0,21,0.0,1.0,6.151,6.189,0.788,0.323,2.219,4.571,False
58,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6[nH]ccc(=O)c6c5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,7,0,21,0.0,1.0,7.189,7.187,0.851,0.311,2.134,8.394,False
59,O=C(c1ccc2cc(-c3cc4ccc(-c5ccccc5)cc4n3CC3CC3)nn2c1)N1CC2CCC1C2,7,0,21,0.0,1.0,6.861,6.921,0.874,0.343,1.261,3.23,False
60,O=C(c1ccc2cc(-c3cc4ccc(N5CCCCC5)nc4n3CC3CC3)nn2c1)N1CCCCC1,7,0,21,0.0,1.0,5.651,5.676,0.393,0.133,0.713,2.096,False
61,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6[nH]c(=O)ccc6c5)cc4n3CC3CC3)nc2c1)N1CC2CCC1C2,7,0,21,0.0,1.0,7.407,7.357,0.689,0.247,1.865,5.19,False
62,O=C(c1ccc2[nH]c(-c3cnc(-c4ccccc4)n3CC3CC3)nc2c1)N1CCCCC1,7,0,21,0.0,1.0,5.364,5.436,0.927,0.322,1.498,3.335,False
63,O=C1NCCc2cc3[nH]c(-c4cc5cccc(OCCn6cncn6)c5n4CC4CC4)nc3cc21,7,0,21,0.0,1.0,6.817,6.523,2.0,0.649,3.64,8.818,False
64,O=C1Cc2cc(-c3ccc4cc(-c5nc6cc(C(=O)N7CCCCC7)ccc6[nH]5)n(CC5CC5)c4n3)ccc2N1,7,0,21,0.0,1.0,7.047,7.194,0.602,0.271,1.08,2.781,False
65,O=C(c1ccc2c(c1)nc(-c1cc3cccnc3n1CC1CC1)n2C1CC1)N1CCCCC1,7,0,21,0.0,1.0,6.707,6.851,1.772,0.658,3.319,11.583,False
66,O=C(c1cc2c3c(c1)nc(-c1cc4ccccc4n1CC1CC1)n3CCN2)N1CCCCC1,6,0,15,0.0,1.0,6.293,6.5,1.24,0.506,0.993,6.733,False
