scaffold_smiles,n_compounds,mean_pic50,std_pic50,pic50_range,contains_patent_exclusive,patent_exclusive_scaffold
O=C(CNC(=O)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1)NCc1ccccc1,12,5.719352974641023,0.3282185584584298,1.103673841729976,False,False
c1ccccc1,12,4.066610235994542,1.257861737367918,3.674823326868747,False,False
O=C(c1ccn2cc(-c3cc4ccccc4n3CC3CC3)nc2c1)N1CCCCC1,12,5.690444733765648,0.3833258030840073,1.0,False,False
O=C(c1ccc2cc(-c3cc4cccnc4n3CC3CC3)nn2c1)N1CC2CCC1C2,12,7.208782028009929,0.4953500306876188,1.500602350569185,False,False
O=C1NCCc2cc3[nH]c(-c4cc5cccc(OCCn6ccnc6)c5n4CC4CC4)nc3cc21,11,7.513016624906655,0.5914062516089647,1.292931613413308,False,False
O=C(/C=C/c1ccccc1)c1c(-c2ccccc2)c2ccccc2[nH]c1=O,11,4.5686746179837545,0.4280666675880348,0.9393021596463882,False,False
O=C1NCCc2cc3[nH]c(-c4cc5ccccc5n4Cc4ccno4)nc3cc21,11,6.587169457931799,0.2689897449343531,1.134698573897456,False,False
O=C(c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1)N1[C@H]2CC[C@@H]1CC2,10,6.858212361897604,1.0177962617500942,3.172630726946174,False,False
O=C1CC(COc2cccc3cc(-c4cc5ccc(C(=O)N6CCCCC6)cn5n4)n(CC4CC4)c23)CN1,10,7.13578631142545,0.3330221124520484,1.0401929735929976,False,False
O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@H]6CC[C@@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)C1CC1,10,7.110166643711617,0.148613640756888,0.5009769038325071,True,True
O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@@H]6CC[C@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)C1CC1,10,7.110166643711617,0.148613640756888,0.5009769038325071,False,False
O=C1Cc2cc(-c3ccc4cc(-c5nc6cc(C(=O)N7CC8CCC7C8)ccc6[nH]5)n(CC5CC5)c4n3)ccc2N1,9,7.258077289539609,0.4666966380850046,1.4965837344890955,False,False
O=C(c1ccc2[nH]c(-c3cc4sccc4n3CC3CC3)nc2c1)N1C[C@H]2CC[C@@H]1C2,9,7.287232356494625,0.1398357668825529,0.4191293077419757,False,False
O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccncc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,9,6.877871383977513,0.2378704373455868,0.7618692858084506,False,False
O=C(c1ccc2[nH]c(-c3cc4ccc(Nc5ccccc5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,9,6.964369652589124,0.1268764080814331,0.4012259851192645,False,False
O=C(CNC(=O)c1cc2c(cn1)[nH]c1ccccc12)NCc1ccccc1,9,5.828793666615386,0.39011536762728,1.2942488226905873,False,False
O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc6[nH]c(=O)ccc6c5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,8,7.232893538580074,0.3110355075409771,0.9882615967287558,False,False
O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccccn5)nc4n3CC3CC3)nc2c1)N1CC2CCC1C2,8,6.964634469545437,0.2835092002371442,0.8516950450674869,False,False
O=C(c1ccc2cc(-c3cc4ccc(-c5ccccc5)cc4n3CC3CC3)oc2c1)N1CC2CCC1C2,8,6.518296155332905,0.5871762327956843,1.6314437690131722,False,False
O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@@H]6CC[C@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)c1cccnc1,8,7.137945261359969,0.1097390573490273,0.370933367109588,False,False
O=C(c1ccc2cc(-c3cc4ccnc(OCCn5ccnc5)c4n3CC3CC3)nn2c1)N1CCCCC1,8,6.8794061403230335,1.0706668145723115,2.4712917110589387,False,False
O=C1NCCc2cc3[nH]c(-c4cc5cccnc5n4CC4CC4)nc3cc21,8,6.396160475128977,0.1835047674452587,0.3979400086720375,False,False
