source,aid,layer,n_input_rows,n_exploded_rows,n_ok,n_no_value,n_unconvertible,n_parse_error,pct_ok,n_use_in_model,median_pic50,min_pic50,max_pic50
pubchem_secondary,2053867,D,1,1,1,0,0,0,100.0,0,6.602,6.602,6.602
pubchem_secondary,2053915,D,1,1,1,0,0,0,100.0,0,,,
pubchem_secondary,2053917,D,1,1,1,0,0,0,100.0,0,6.602,6.602,6.602
pubchem_secondary,2193457,D,1,1,1,0,0,0,100.0,0,5.229,5.229,5.229
pubchem_secondary,1625405,D,1,1,1,0,0,0,100.0,0,7.301,7.301,7.301
pubchem_secondary,1806765,D,29,29,29,0,0,0,100.0,0,5.26,5.0,6.0
pubchem_secondary,1069597,D,3,3,0,3,0,0,0.0,0,,,
pubchem_secondary,1069598,D,3,3,0,3,0,0,0.0,0,,,
pubchem_secondary,1069599,D,3,3,0,3,0,0,0.0,0,,,
pubchem_secondary,1069600,D,3,3,0,3,0,0,0.0,0,,,
pubchem_secondary,1069601,D,3,3,0,3,0,0,0.0,0,,,
pubchem_secondary,1069604,D,3,3,0,3,0,0,0.0,0,,,
pubchem_secondary,1069605,D,1,1,0,1,0,0,0.0,0,,,
pubchem_secondary,1069606,D,3,3,0,3,0,0,0.0,0,,,
pubchem_secondary,588487,D,316,316,316,0,0,0,100.0,0,,,
pubchem_secondary,651627,D,6,6,0,6,0,0,0.0,0,,,
pubchem_secondary,1346144,D,3,3,1,2,0,0,33.3,0,5.7,5.7,5.7
pubchem_secondary,2039667,E,1,1,1,0,0,0,100.0,0,7.301,7.301,7.301
pubchem_secondary,2053916,E,1,1,1,0,0,0,100.0,0,7.301,7.301,7.301
pubchem_secondary,627442,E,2,2,0,2,0,0,0.0,0,,,
pubchem_secondary,627443,E,2,2,0,2,0,0,0.0,0,,,
pubchem_secondary,1422917,E,2,2,0,2,0,0,0.0,0,,,
chembl,CHEMBL6111,chembl,4925,4925,1779,3084,62,0,36.1,1677,6.87,2.0,8.301
bindingdb,Q9UM07,bindingdb,3087,3087,3087,0,0,0,100.0,3048,6.843,2.0,8.523
