aid,category,layer,endpoint,flags,expected_subdir,actual_path,file_exists,file_bytes,status,n_data_rows,n_columns,has_sid,has_cid,has_smiles,activity_types,verify_note,issues
2006936,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_2006936_datatable_all.csv,True,1651,PASS,6,13,True,True,False,Unspecified,,
2034405,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_2034405_datatable_all.csv,True,1061,PASS,2,13,True,True,False,Active,,
2034406,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_2034406_datatable_all.csv,True,1032,PASS,2,13,True,True,False,Active|Unspecified,,
2034407,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_2034407_datatable_all.csv,True,953,PASS,1,13,True,True,False,Active,,
2071731,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_2071731_datatable_all.csv,True,6534,PASS,42,13,True,True,False,Active|Unspecified,,
2134413,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_2134413_datatable_all.csv,True,1957,PASS,9,13,True,True,False,Active,,
2200614,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_2200614_datatable_all.csv,True,968,PASS,1,13,True,True,False,Active,,
1422897,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1422897_datatable_all.csv,True,1468,PASS,5,14,True,True,False,Unspecified,,
725673,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_725673_datatable_all.csv,True,934,PASS,1,13,True,True,False,Active,,
725596,A,A,IC50,VERIFIED_DOSE_RESPONSE,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_725596_datatable_all.csv,True,1852,PASS,13,12,True,True,False,Unspecified,"Confirmed dose-response. '10µM' in AID description = enzyme preincubation conc, not compound conc.",
725597,A,A,IC50,VERIFIED_DOSE_RESPONSE,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_725597_datatable_all.csv,True,1849,PASS,13,12,True,True,False,Unspecified,"Confirmed dose-response. '1µM' in AID description = enzyme preincubation conc, not compound conc.",
725598,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_725598_datatable_all.csv,True,1600,PASS,8,13,True,True,False,Unspecified,,
1196525,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1196525_datatable_all.csv,True,1535,PASS,8,11,True,True,False,Inactive,,
1069613,A,A,IC50,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1069613_datatable_all.csv,True,1035,PASS,2,13,True,True,False,Unspecified,,
1069619,A,A,Pct_inh,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1069619_datatable_all.csv,True,1400,PASS,6,13,True,True,False,Active,,
1069623,A,A,Pct_inh,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_1069623_datatable_all.csv,True,3783,PASS,32,12,True,True,False,Unspecified,,
627371,A,A,Pct_inh,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_627371_datatable_all.csv,True,3777,PASS,22,14,True,True,False,Active|Unspecified,,
627428,A,A,Pct_inh,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_627428_datatable_all.csv,True,887,PASS,4,10,True,True,False,Active,,
627432,A,A,Pct_inh,,pubchem/confirmatory,data/raw/pubchem/confirmatory/AID_627432_datatable_all.csv,True,1059,PASS,4,12,True,True,False,Unspecified,,
